,Sex,"Repayment_Status_September,2005",Count,Percentage
0,female,-2,1857,68.57459379615952
1,female,-1,3516,62.417894549973376
2,female,0,8551,58.97648113663011
3,female,1,2178,59.47569634079738
4,female,2,1533,58.06818181818182
5,female,3,162,50.625
6,female,4,32,42.10526315789473
7,female,5,8,33.33333333333333
8,female,6,5,45.45454545454545
9,female,7,4,44.44444444444444
10,female,8,9,47.368421052631575
11,male,-2,851,31.425406203840474
12,male,-1,2117,37.582105450026624
13,male,0,5948,41.02351886336989
14,male,1,1484,40.52430365920262
15,male,2,1107,41.93181818181818
16,male,3,158,49.375
17,male,4,44,57.89473684210527
18,male,5,16,66.66666666666666
19,male,6,6,54.54545454545454
20,male,7,5,55.55555555555556
21,male,8,10,52.63157894736842
