,Marriage,"Repayment_Status_July,2005",Count,Percentage
0,married,-2,2008,49.86342190216042
1,married,-1,2852,48.64403888794133
2,married,0,6697,43.15633457919835
3,married,1,3,75.0
4,married,2,1747,45.949500263019466
5,married,3,107,45.14767932489451
6,married,4,30,39.473684210526315
7,married,5,13,61.904761904761905
8,married,6,10,43.47826086956522
9,married,7,9,33.33333333333333
10,married,8,1,33.33333333333333
11,others,-2,25,0.6208095356344674
12,others,-1,51,0.8698618454716016
13,others,0,193,1.2437169738368348
14,others,1,0,0.0
15,others,2,43,1.1309836927932666
16,others,3,4,1.6877637130801686
17,others,4,1,1.3157894736842104
18,others,5,0,0.0
19,others,6,0,0.0
20,others,7,1,3.7037037037037033
21,others,8,0,0.0
22,single,-2,1994,49.51576856220512
23,single,-1,2960,50.48609926658707
24,single,0,8628,55.59994844696482
25,single,1,1,25.0
26,single,2,2012,52.91951604418726
27,single,3,126,53.16455696202531
28,single,4,45,59.210526315789465
29,single,5,8,38.095238095238095
30,single,6,13,56.52173913043478
31,single,7,17,62.96296296296296
32,single,8,2,66.66666666666666
