,Education,"Repayment_Status_April,2005",Count,Percentage
0,graduate school,-2,2209,45.96337910944652
1,graduate school,-1,2640,46.52802255904124
2,graduate school,0,4841,30.156357067214852
3,graduate school,2,827,30.007256894049345
4,graduate school,3,41,22.404371584699454
5,graduate school,4,6,12.244897959183673
6,graduate school,5,3,23.076923076923077
7,graduate school,6,2,10.526315789473683
8,graduate school,7,11,23.91304347826087
9,graduate school,8,1,50.0
10,high school,-2,669,13.920099875156055
11,high school,-1,804,14.169897779344378
12,high school,0,2855,17.784837725035818
13,high school,2,469,17.017416545718433
14,high school,3,36,19.672131147540984
15,high school,4,18,36.734693877551024
16,high school,5,4,30.76923076923077
17,high school,6,4,21.052631578947366
18,high school,7,14,30.434782608695656
19,high school,8,0,0.0
20,others,-2,35,0.7282563462338744
21,others,-1,27,0.4758547761720127
22,others,0,58,0.3613031832056314
23,others,2,3,0.10885341074020319
24,others,3,0,0.0
25,others,4,0,0.0
26,others,5,0,0.0
27,others,6,0,0.0
28,others,7,0,0.0
29,others,8,0,0.0
30,university,-2,1893,39.38826466916355
31,university,-1,2203,38.826224885442365
32,university,0,8299,51.697502024543695
33,university,2,1457,52.86647314949202
34,university,3,106,57.92349726775956
35,university,4,25,51.02040816326531
36,university,5,6,46.15384615384615
37,university,6,13,68.42105263157895
38,university,7,21,45.65217391304348
39,university,8,1,50.0
