,Sex,"Repayment_Status_August,2005",Count,Percentage
0,female,-2,2516,67.5980655561526
1,female,-1,3787,63.222036727879804
2,female,0,9101,58.807185319203924
3,female,1,14,50.0
4,female,2,2202,56.403688524590166
5,female,3,170,52.14723926380368
6,female,4,39,40.20618556701031
7,female,5,11,44.0
8,female,6,5,41.66666666666667
9,female,7,9,45.0
10,female,8,1,100.0
11,male,-2,1206,32.401934443847395
12,male,-1,2203,36.7779632721202
13,male,0,6375,41.19281468079607
14,male,1,14,50.0
15,male,2,1702,43.59631147540984
16,male,3,156,47.85276073619632
17,male,4,58,59.79381443298969
18,male,5,14,56.00000000000001
19,male,6,7,58.333333333333336
20,male,7,11,55.00000000000001
21,male,8,0,0.0
