,LIMIT_BAL,PB1,PB2,PB3,PB4,PB5,PB6
0,20000,3913,2413,689,0,0,0
1,120000,2682,725,1682,2272,3455,1261
2,90000,27721,12527,12559,13331,13948,10549
3,50000,44990,46214,48091,27214,27890,28547
4,50000,6617,-31011,25835,11940,18457,18452
5,50000,61900,55254,56951,18394,18619,19224
6,500000,312965,372023,407007,522414,469253,460174
7,100000,11496,-221,601,-360,-1846,-975
8,140000,7956,14096,11676,11211,10793,2719
9,20000,0,0,0,-13007,11885,13912
10,200000,8767,9775,5485,2213,-1910,3665
11,260000,-9557,11704,1383,-13784,22287,10028
12,630000,11137,0,0,0,3630,2870
13,70000,62602,67369,62701,63782,34637,36894
14,250000,67887,64060,60561,56696,53875,52512
15,50000,50614,27673,27016,27571,28231,29111
16,20000,12176,18010,15928,18338,16255,19104
17,320000,242928,236536,118723,50074,-189743,145599
18,360000,0,0,0,0,0,0
19,180000,0,0,0,0,0,0
20,130000,35358,26151,23489,18616,10872,-32834
21,120000,0,0,316,-632,316,316
22,70000,39080,38863,45020,40405,46905,44192
23,450000,-13916,17947,913,560,0,-1128
24,90000,-1013,7070,-5398,4198,4315,6292
25,50000,45647,40384,35022,27535,28767,29049
26,60000,-109,-1425,259,-557,127,-1189
27,50000,21241,14838,16163,16378,17931,18605
28,50000,-2765,-6,1372,-28390,30173,257
29,50000,13829,15075,16496,16907,16775,11400
30,230000,-624,3984,-2073,1032,-22985,36923
31,50000,28800,28118,21102,21734,22217,22964
32,100000,90013,80560,79578,77754,75503,73085
33,500000,6777,-18675,15201,-63918,70458,-42601
34,500000,8703,-26172,27950,3180,-5293,4525
35,160000,30134,-527,-923,-1488,-2280,-1884
36,280000,178477,173268,174122,164010,167501,170676
37,60000,13554,8288,9025,6026,-76006,18043
38,50000,-780,780,0,0,0,0
39,280000,-8577,9075,-5335,1976,8451,8696
40,360000,208668,214296,200895,439859,167969,175224
41,70000,64521,62499,59907,61199,61918,63470
42,10000,377,257,5003,3276,2670,3951
43,140000,56504,58544,59925,60280,63079,66802
44,40000,15927,16295,25921,23209,23636,29197
45,210000,0,0,0,0,0,0
46,20000,11028,16484,-941,16007,16675,0
48,380000,861,6402,-9543,20167,-26,3622
49,20000,16129,17164,18772,18937,19568,18994
50,70000,37042,33071,36355,39423,37159,37862
51,100000,59559,49557,42324,37619,34262,32258
52,310000,5590,267,-3585,7641,3080,464
53,180000,40102,39732,40996,41748,42630,43697
54,150000,44624,33275,30385,25018,19042,11540
55,500000,-1735,3478,162,-151,-2379,2530
56,180000,7886,14293,941,6463,-9679,6321
57,180000,167803,166144,167055,163794,127386,126118
58,200000,1587,1098,82,1166,-500,1414
59,400000,383134,383828,374205,348199,344656,341089
60,500000,21332,22338,17878,13937,11827,13571
61,70000,66775,69965,68938,14518,11096,830
62,50000,24987,21600,26591,23640,26467,28264
63,50000,27718,29166,0,0,0,0
64,130000,99,0,0,-2353,2353,0
65,200000,152519,148751,135854,7874,8198,6918
66,10000,-203,4193,3828,3862,3996,4166
67,210000,0,-859,-1121,1980,-3950,3341
68,130000,-190,-9850,-30011,10311,2842,-6580
70,80000,780,-390,0,0,0,0
71,320000,55767,56746,60184,53822,59907,61926
72,200000,3258,5772,-9786,5230,683,1756
73,290000,0,-3155,3155,-2359,2359,0
74,340000,-2665,-17903,19023,-76261,54204,23804
75,20000,11769,17216,16032,16346,15832,18543
76,50000,41079,35446,35767,9136,8590,9030
77,300000,0,0,0,0,0,0
78,30000,26701,28212,29766,25004,24681,6411
79,240000,0,0,0,0,0,0
80,470000,158854,150218,159702,68963,28271,26889
81,360000,18615,24396,27300,-113800,179804,-2767
82,60000,24748,26258,27460,21225,18759,19771
83,400000,120895,139057,123769,101430,101790,91258
84,50000,47233,46561,20789,19715,18493,18656
85,160000,125628,104261,-8066,113918,113607,115918
86,360000,-780,1170,780,0,0,0
87,160000,2679,2751,4604,8604,6306,-1537
88,130000,41313,112866,16410,-5765,5905,-900
89,20000,8583,6652,8651,8488,12314,10470
90,200000,131880,135274,136960,138598,142124,144531
91,280000,7524,-3968,3968,3868,0,0
92,100000,-9555,5555,0,0,0,0
93,160000,-722,762,0,840,0,-7736
94,60000,43711,45549,46532,18905,18393,18488
95,90000,80104,82399,86474,34453,29838,29692
96,360000,-4372,4928,-9508,-20549,26370,-59022
97,150000,81978,76102,85740,85735,86027,39988
98,50000,17311,16966,16618,12869,8545,7702
99,20000,16274,17907,18933,16490,17778,150
100,140000,-9540,9362,435,315,-1330,1430
